user_id;item_id;rating
49;9;5
49;10;2
50;1;2
50;2;3
50;3;5
50;4;5
50;5;4
50;6;1
50;7;1
50;8;5
50;9;3
50;10;4
